station,Drowned,Head on,Hit and Run,Hit animal,Hit bicyclist,Hit fixed object,Hit parked vehicle,Hit pedal cyclist,Hit pedestrian,Hit puchcart,Not Applicable,Others,Overturning,Rear end,Right Turn Collision,Run Off Road,Side impact or Right angle,Side swipe,Skidding or Self accident,Vehicle to Vehicle
Adugodi,0,1,2,0,0,0,0,0,22,0,3,3,1,3,0,0,0,1,0,7
Airport,0,5,11,0,7,1,0,0,52,0,26,10,0,3,0,0,0,1,0,25
Ashokanagar,0,0,4,0,3,0,0,0,9,0,7,2,0,0,0,0,0,0,1,11
Banasawadi,0,6,12,0,2,4,1,0,43,0,20,2,8,0,0,1,0,0,3,36
Banashankari,0,0,3,0,3,0,0,0,15,0,29,7,0,0,2,0,0,1,0,18
Basavanagudi,0,1,4,0,0,0,0,0,9,0,3,8,0,0,0,0,1,0,1,18
Bellanduru,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,4
Bytarayanapura,0,3,15,0,0,1,0,0,65,0,23,2,2,9,0,0,0,0,0,35
Chickpet,0,11,10,0,1,0,0,0,10,0,5,2,0,0,0,0,0,0,0,8
Chikkajala,0,5,28,0,2,0,0,0,48,0,36,8,2,10,0,0,0,3,13,67
City Market,0,0,2,0,0,0,0,0,13,0,3,3,0,5,0,0,0,0,0,1
Cubbon Park,0,1,2,0,0,0,0,0,3,0,6,1,0,0,0,0,0,0,2,6
Electronic City,0,15,2,0,2,1,0,0,63,0,19,30,0,21,0,0,0,0,3,74
H.Grounds,0,1,3,0,0,0,0,0,15,0,5,1,0,3,0,0,0,0,3,6
HSR Layout,0,0,30,0,0,0,0,1,17,0,27,14,0,0,0,1,0,0,1,31
Halasooru,0,0,8,0,2,1,0,0,24,0,27,2,0,4,1,0,1,2,2,14
Hebbala,0,2,9,0,14,4,1,0,51,0,19,7,0,11,0,0,0,1,2,46
Hennuru,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,6
Hulimavu,0,5,11,1,0,2,0,0,34,0,12,5,0,13,1,0,0,1,2,24
Indiranagar,0,1,5,0,3,1,0,0,21,0,15,6,0,1,0,0,0,0,2,15
Int. Aiport,0,4,10,0,1,1,1,2,40,5,65,9,3,2,1,3,0,1,3,61
Jalahalli,0,11,3,1,4,1,0,0,23,0,32,8,0,9,1,0,1,1,3,43
Jayanagar,0,1,15,1,2,0,0,0,22,0,20,7,0,0,0,0,0,0,0,18
Jnanabharathi,0,1,16,1,0,0,0,0,9,0,9,10,0,0,0,0,0,0,0,9
K G Halli,0,0,1,0,2,0,0,0,12,0,5,2,0,0,0,0,0,0,0,4
K R Puram,0,5,55,0,5,1,0,0,54,0,57,16,1,27,1,0,0,0,3,71
K S Layout,1,3,6,0,6,0,0,0,46,0,33,24,1,23,0,1,0,1,1,79
Kamakshipalya,4,21,12,0,10,0,0,2,44,0,61,4,0,8,0,0,0,1,4,56
Kengeri,1,5,2,0,0,2,1,0,44,0,33,0,0,14,3,0,7,1,15,58
Madivala,1,11,26,0,3,0,0,0,36,0,13,1,0,2,0,0,0,0,0,18
Magadi Road,0,1,3,0,0,0,0,0,16,0,9,0,0,0,0,0,0,0,1,4
Mahadevapura,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,3
Malleshwaram,0,0,1,0,1,1,0,0,17,0,13,2,0,2,0,0,0,1,1,17
Micolayout,0,0,2,0,0,1,0,0,26,0,13,2,0,1,0,0,4,0,0,18
Peenya,1,16,7,0,5,0,1,0,68,0,14,15,0,6,0,0,4,2,0,52
Pulikeshinagar,0,2,6,0,0,0,0,0,13,0,12,7,0,0,0,0,1,2,3,8
R T Nagar,0,0,8,1,0,0,0,0,9,0,18,10,0,0,0,0,0,0,0,5
Rajajinagar,1,2,5,0,0,0,0,0,28,0,11,1,1,11,2,1,0,0,2,32
S.S.Nagar,0,3,4,0,2,0,0,0,12,0,13,5,0,0,0,0,0,0,0,10
Shivajinagar,0,2,1,0,1,0,0,0,11,0,5,4,0,0,0,0,0,0,0,6
Thalagattapura,0,0,2,1,0,0,1,0,2,0,9,11,1,1,0,0,0,1,4,9
U.Gate,0,0,0,0,0,0,0,0,21,0,1,0,0,3,0,0,0,0,1,7
Upparpet,0,5,6,0,0,0,0,0,20,0,0,3,1,0,0,0,0,0,0,3
VV Puram,0,1,6,0,1,0,0,0,17,0,2,3,1,1,0,0,0,1,1,9
Vijayanagar,0,12,12,0,0,0,0,1,25,0,12,0,0,0,0,0,0,0,2,9
W.Garden,0,7,4,0,4,0,0,0,16,0,6,4,0,5,1,0,0,0,0,12
Whitefield,0,1,29,0,10,0,0,0,61,0,32,20,0,1,0,0,1,0,0,81
Yalahanka,0,21,3,0,5,7,0,0,60,0,23,29,0,21,0,0,0,11,2,36
Yashawanthapura,0,0,16,0,1,0,0,0,25,0,38,11,1,4,1,1,0,1,1,31
