station,Arterial,City or Town Road,Expressway,Feeder Road,Forest Road,Major District Road,Minor District Road,Mixed,NH,Not Applicable,One way,Others,Residential Street,Service Road,State Highway,Sub Arterial,Two way,Village Road
Adugodi,5,18,0,0,0,2,1,0,0,1,1,3,0,0,0,0,12,0
Airport,15,25,0,0,0,0,0,0,0,3,5,41,3,6,2,0,40,1
Ashokanagar,1,3,0,0,0,4,0,0,0,0,1,1,1,0,0,2,24,0
Banasawadi,7,51,0,0,0,1,0,0,0,0,12,23,5,3,0,4,32,0
Banashankari,0,10,0,0,0,1,0,0,0,1,7,28,1,1,0,0,29,0
Basavanagudi,0,10,0,0,0,1,0,0,0,2,3,12,5,0,0,0,12,0
Bellanduru,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0
Bytarayanapura,0,5,1,0,0,0,0,0,0,3,9,19,2,4,50,7,55,0
Chickpet,0,22,0,0,0,4,3,0,1,3,4,8,1,0,1,0,0,0
Chikkajala,0,29,2,0,0,1,1,2,78,0,0,27,3,10,12,2,51,4
City Market,4,6,0,0,0,0,0,0,0,0,8,7,0,1,0,1,0,0
Cubbon Park,0,6,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0
Electronic City,0,1,25,0,0,1,0,0,128,1,0,64,2,7,0,0,1,0
H.Grounds,0,2,0,0,0,0,0,0,0,0,6,9,1,1,0,0,18,0
HSR Layout,0,51,0,0,0,0,0,0,1,2,5,53,1,3,1,0,5,0
Halasooru,3,30,1,1,0,1,1,0,0,3,8,17,0,4,0,1,18,0
Hebbala,0,46,1,0,0,0,0,0,49,1,0,45,1,2,0,1,21,0
Hennuru,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,12,0
Hulimavu,0,29,4,0,0,6,1,0,32,0,0,21,4,3,6,3,2,0
Indiranagar,1,25,1,0,0,1,0,0,3,0,2,33,1,0,0,0,3,0
Int. Aiport,0,15,1,0,0,0,0,0,114,0,1,47,5,1,7,7,10,4
Jalahalli,26,12,0,0,1,5,2,0,0,0,2,13,6,0,7,64,3,0
Jayanagar,2,28,0,0,0,2,0,0,0,3,5,13,1,0,0,3,29,0
Jnanabharathi,0,18,0,0,0,2,1,1,1,5,1,9,1,1,9,0,5,1
K G Halli,3,4,0,0,0,6,1,0,0,0,0,1,1,1,0,0,9,0
K R Puram,2,62,6,0,0,2,0,5,62,6,8,90,12,17,0,2,21,1
K S Layout,0,26,1,0,3,0,0,0,29,0,1,154,5,0,0,0,4,2
Kamakshipalya,11,55,1,0,0,1,0,0,8,9,8,46,7,6,32,23,20,0
Kengeri,0,11,16,0,0,1,0,1,54,9,2,67,9,3,2,0,11,0
Madivala,7,22,40,0,0,0,0,0,19,0,2,16,2,1,0,2,0,0
Magadi Road,3,11,0,0,0,0,0,0,0,0,0,1,1,3,0,6,9,0
Mahadevapura,0,0,0,0,0,3,0,0,0,0,1,5,1,0,0,0,0,0
Malleshwaram,1,13,0,0,0,0,0,0,0,7,13,13,3,0,0,0,6,0
Micolayout,14,20,0,0,0,0,0,0,0,0,3,12,11,0,0,0,7,0
Peenya,2,47,2,0,0,0,0,0,80,1,1,26,26,0,1,3,2,0
Pulikeshinagar,2,13,0,0,0,1,0,0,0,1,4,4,12,0,0,3,14,0
R T Nagar,0,16,0,0,0,0,0,0,1,8,2,24,0,0,0,0,0,0
Rajajinagar,0,34,0,0,0,0,1,0,0,0,18,9,4,5,0,0,26,0
S.S.Nagar,1,20,1,0,0,0,0,0,0,1,2,16,3,2,1,0,2,0
Shivajinagar,5,10,0,0,0,0,0,0,0,0,2,3,2,0,0,6,2,0
Thalagattapura,0,3,9,0,0,5,1,0,1,0,6,12,1,0,1,0,3,0
U.Gate,0,13,0,0,0,0,0,0,0,0,2,18,0,0,0,0,0,0
Upparpet,0,15,0,0,0,0,0,0,0,3,14,4,0,2,0,0,0,0
VV Puram,0,18,0,0,0,0,0,0,0,1,0,23,0,0,1,0,0,0
Vijayanagar,1,34,0,0,0,2,0,0,0,0,0,9,12,4,0,0,11,0
W.Garden,10,9,0,0,0,1,0,0,0,0,14,3,2,0,0,3,16,1
Whitefield,40,50,0,0,0,1,0,0,0,9,4,57,1,0,55,12,6,1
Yalahanka,14,45,0,0,1,0,0,0,88,2,5,26,3,3,16,8,6,1
Yashawanthapura,10,59,1,0,0,3,1,2,15,3,5,13,1,3,2,4,9,0
