station,year,severity,collision,road_type,lat,lng
Adugodi,2016,Grievous Injury,Head on,City or Town Road,12.924586,77.632458
Adugodi,2016,Fatal,Head on,City or Town Road,12.941109,77.608659
Adugodi,2017,Damage Only,Rear end,City or Town Road,12.942224,77.602416
Adugodi,2017,Grievous Injury,Rear end,City or Town Road,12.929348,77.615997
Adugodi,2017,Grievous Injury,Right Turn Collision,City or Town Road,12.941165,77.602436
Adugodi,2017,Grievous Injury,Hit and Run,City or Town Road,12.941168,77.602353
Adugodi,2017,Grievous Injury,Right Turn Collision,City or Town Road,12.933431,77.623248
Adugodi,2017,Damage Only,Overturning,City or Town Road,12.935014,77.629078
Adugodi,2017,Simple Injury,Hit pedestrian,City or Town Road,12.948302,77.62087
Adugodi,2017,Grievous Injury,Hit pedestrian,City or Town Road,12.924914,77.633949
Adugodi,2017,Damage Only,Rear end,City or Town Road,12.926759,77.637684
Adugodi,2017,Damage Only,Hit and Run,City or Town Road,12.737221,77.626898
Adugodi,2017,Grievous Injury,Hit and Run,City or Town Road,12.928964,77.617589
Adugodi,2017,Grievous Injury,Others,City or Town Road,12.927382,77.621085
Adugodi,2017,Simple Injury,Hit pedestrian,City or Town Road,12.935365,77.614217
Adugodi,2017,Simple Injury,Hit pedestrian,City or Town Road,12.940022,77.624708
Adugodi,2017,Grievous Injury,Hit pedestrian,Others,12.934462,77.629644
Adugodi,2017,Simple Injury,Side impact or Right angle,Residential Street,12.9259102,77.6375508
Adugodi,2017,Grievous Injury,Hit pedestrian,City or Town Road,12.948848,77.620113
Adugodi,2017,Simple Injury,Head on,City or Town Road,12.9424663,77.6143973
Adugodi,2017,Simple Injury,Hit pedestrian,City or Town Road,12.940432,77.601248
Adugodi,2017,Fatal,Hit pedestrian,City or Town Road,12.939119,77.602125
Adugodi,2017,Grievous Injury,Head on,City or Town Road,12.936978,77.6265
Adugodi,2017,Grievous Injury,Hit pedestrian,City or Town Road,12.93635,77.627844
Adugodi,2017,Damage Only,Head on,City or Town Road,12.924606,77.6328
Adugodi,2017,Damage Only,Right Turn Collision,City or Town Road,12.937241,77.626898
Adugodi,2017,Fatal,Hit pedestrian,City or Town Road,12.948534,77.606388
Adugodi,2017,Fatal,Hit and Run,City or Town Road,12.927495,77.621067
Adugodi,2017,Grievous Injury,Hit and Run,City or Town Road,12.941111,77.602437
Adugodi,2018,Simple Injury,Others,City or Town Road,12.9501199,77.6033422
Adugodi,2019,Grievous Injury,Hit pedestrian,Two way,12.939946,77.609407
Adugodi,2019,Not Applicable,Vehicle to Vehicle,Two way,12.938836,77.609986
Adugodi,2019,Grievous Injury,Vehicle to Vehicle,Others,12.924315,77.630004
Adugodi,2019,Grievous Injury,Hit pedestrian,Two way,12.939923,77.609454
Adugodi,2019,Grievous Injury,Vehicle to Vehicle,Others,12.948711,77.606227
Adugodi,2019,Grievous Injury,Hit pedestrian,Two way,12.941566,77.608427
Adugodi,2019,Grievous Injury,Vehicle to Vehicle,Two way,12.927475,77.620893
Adugodi,2019,Grievous Injury,Hit pedestrian,Others,12.933329,77.627283
Adugodi,2019,Damage Only,Vehicle to Vehicle,One way,12.935055,77.623007
Adugodi,2019,Simple Injury,Vehicle to Vehicle,Others,12.944371,77.602831
Adugodi,2019,Grievous Injury,Not Applicable,Two way,12.943954,77.607559
Adugodi,2019,Simple Injury,Vehicle to Vehicle,Two way,12.938576,77.602022
Adugodi,2019,Grievous Injury,Vehicle to Vehicle,Two way,12.94024,77.625186
Adugodi,2019,Grievous Injury,Vehicle to Vehicle,Two way,12.948474,77.606253
Adugodi,2019,Grievous Injury,Hit pedestrian,Others,12.943991,77.607922
Adugodi,2019,Grievous Injury,Vehicle to Vehicle,Others,12.9512,77.618551
Adugodi,2019,Simple Injury,Vehicle to Vehicle,Two way,12.941982,77.608357
Adugodi,2019,Grievous Injury,Hit pedestrian,Two way,12.924889,77.634091
Adugodi,2019,Grievous Injury,Vehicle to Vehicle,Others,12.930324,77.63051
Adugodi,2019,Grievous Injury,Vehicle to Vehicle,Others,12.924828,77.634028
Adugodi,2019,Grievous Injury,Hit bicyclist,Others,12.933732,77.619722
Adugodi,2019,Damage Only,Vehicle to Vehicle,Others,12.943156,77.602884
Adugodi,2019,Grievous Injury,Hit pedestrian,Two way,12.93569,77.615093
Adugodi,2019,Fatal,Hit pedestrian,One way,12.942198,77.602597
Adugodi,2019,Fatal,Hit pedestrian,Two way,12.939609,77.609482
Adugodi,2019,Grievous Injury,Vehicle to Vehicle,Two way,12.937236,77.626986
Adugodi,2019,Grievous Injury,Vehicle to Vehicle,Others,12.941391,77.602548
Adugodi,2019,Grievous Injury,Hit pedestrian,Two way,12.946432,77.606862
Adugodi,2019,Grievous Injury,Vehicle to Vehicle,Others,12.942436,77.602747
Adugodi,2019,Grievous Injury,Vehicle to Vehicle,Two way,12.935021,77.624731
Adugodi,2019,Grievous Injury,Hit pedestrian,Two way,12.939089,77.609882
Adugodi,2019,Grievous Injury,Vehicle to Vehicle,Two way,12.941826,77.608321
Adugodi,2019,Damage Only,Vehicle to Vehicle,Others,12.925141,77.626672
Adugodi,2019,Grievous Injury,Vehicle to Vehicle,Two way,12.94168,77.602594
Adugodi,2019,Grievous Injury,Vehicle to Vehicle,Two way,12.942157,77.602609
Adugodi,2019,Damage Only,Vehicle to Vehicle,Two way,12.940864,77.602372
Adugodi,2019,Grievous Injury,Vehicle to Vehicle,Two way,12.938865,77.609804
Adugodi,2019,Grievous Injury,Hit pedestrian,Two way,12.925355,77.633637
Adugodi,2019,Grievous Injury,Vehicle to Vehicle,Two way,12.935292,77.621036
Adugodi,2020,Grievous Injury,Vehicle to Vehicle,Two way,12.92747,77.621042
Adugodi,2020,Simple Injury,Vehicle to Vehicle,Two way,12.940502,77.620214
Adugodi,2020,Grievous Injury,Hit pedestrian,Others,12.946772,77.618646
Adugodi,2020,Damage Only,Vehicle to Vehicle,Two way,12.924855,77.633574
Adugodi,2020,Grievous Injury,Vehicle to Vehicle,Two way,12.9275253,77.6208927
Adugodi,2021,Grievous Injury,Vehicle to Vehicle,Two way,12.940455,77.620258
Adugodi,2021,Grievous Injury,Hit pedestrian,Two way,12.926926,77.63367
Adugodi,2021,Grievous Injury,Vehicle to Vehicle,Two way,12.946206,77.607014
Adugodi,2021,Grievous Injury,Vehicle to Vehicle,Others,12.937089,77.607982
Adugodi,2021,Grievous Injury,Not Applicable,Two way,12.935863,77.625139
Adugodi,2022,Grievous Injury,Vehicle to Vehicle,Two way,13.093267,77.56204
Adugodi,2022,Fatal,Vehicle to Vehicle,Minor District Road,12.927551,77.621047
Adugodi,2022,Grievous Injury,Vehicle to Vehicle,Two way,12.939212,77.625754
Adugodi,2022,Grievous Injury,Hit pedestrian,Arterial,12.928894,77.617294
Adugodi,2022,Fatal,Hit pedestrian,Arterial,12.943619,77.607686
Adugodi,2022,Simple Injury,Vehicle to Vehicle,Two way,12.946777,77.606786
Adugodi,2022,Damage Only,Vehicle to Vehicle,Others,12.928819,77.617435
Adugodi,2022,Grievous Injury,Hit pedestrian,Major District Road,12.928814,77.617617
Adugodi,2022,Grievous Injury,Not Applicable,Minor District Road,12.929531,77.615819
Adugodi,2022,Grievous Injury,Hit bicyclist,Two way,12.930531,77.626293
Adugodi,2023,Grievous Injury,Vehicle to Vehicle,Major District Road,12.931473,77.622572
Adugodi,2023,Damage Only,Vehicle to Vehicle,Others,12.940121,77.603274
Adugodi,2023,Grievous Injury,Hit pedestrian,Arterial,12.932391,77.613466
Adugodi,2023,Grievous Injury,Hit pedestrian,Arterial,12.928911,77.617475
Adugodi,2023,Damage Only,Vehicle to Vehicle,Arterial,12.94144,77.62072
Adugodi,2023,Grievous Injury,Hit pedestrian,Major District Road,12.93535,77.628738
Adugodi,2023,Grievous Injury,Vehicle to Vehicle,Major District Road,12.936839,77.627022
Adugodi,2023,Grievous Injury,Hit pedestrian,Two way,12.925082,77.63398
Adugodi,2023,Grievous Injury,Vehicle to Vehicle,Two way,12.946139,77.602489
Adugodi,2023,Grievous Injury,Hit pedestrian,Arterial,12.931935,77.632306
Adugodi,2023,Fatal,Hit pedestrian,Arterial,12.929133,77.616604
Adugodi,2023,Fatal,Vehicle to Vehicle,Major District Road,12.927567,77.62091
Adugodi,2023,Grievous Injury,Hit pedestrian,Arterial,12.924496,77.638649
Adugodi,2023,Grievous Injury,Vehicle to Vehicle,Two way,12.940703,77.626854
Adugodi,2023,Grievous Injury,Vehicle to Vehicle,Major District Road,12.935277,77.62442
Adugodi,2023,Simple Injury,Vehicle to Vehicle,Two way,12.937786,77.627892
Adugodi,2023,Grievous Injury,Hit pedestrian,Arterial,12.937419,77.626825
Adugodi,2023,Grievous Injury,Hit pedestrian,Major District Road,12.948392,77.606295
Adugodi,2023,Grievous Injury,Hit pedestrian,Major District Road,12.924845,77.637935
Adugodi,2023,Simple Injury,Vehicle to Vehicle,Others,12.937835,77.627854
Adugodi,2023,Grievous Injury,Vehicle to Vehicle,Major District Road,12.935353,77.628738
Adugodi,2023,Grievous Injury,Hit pedestrian,Two way,12.933309,77.62547
Airport,2016,Grievous Injury,Head on,Others,12.943187,77.697475
Airport,2016,Grievous Injury,Hit pedestrian,Others,12.955785,77.69196
Airport,2016,Fatal,Hit pedestrian,Others,12.955218,77.687984
Airport,2016,Fatal,Hit pedestrian,Others,12.95925,77.662351
Airport,2017,Simple Injury,Hit pedestrian,Arterial,12.95688,77.70063
Airport,2017,Grievous Injury,Hit and Run,Arterial,12.95987,77.66746
Airport,2017,Not Applicable,Hit and Run,Arterial,12.94307,77.69218
Airport,2017,Grievous Injury,Head on,Others,12.929788,77.68449
Airport,2017,Simple Injury,Hit pedestrian,Arterial,12.95977,77.7016
Airport,2017,Grievous Injury,Hit pedestrian,Others,12.93341,77.69136
Airport,2018,Fatal,Hit pedestrian,Others,12.951115,77.699668
Airport,2018,Fatal,Hit and Run,City or Town Road,12.9350036,77.6906
Airport,2018,Damage Only,Overturning,Two way,12.956117,77.711939
Airport,2018,Fatal,Others,Others,12.965281,77.692442
Airport,2018,Fatal,Not Applicable,City or Town Road,12.948329,77.699114
Airport,2018,Fatal,Hit pedestrian,Others,12.947558,77.698964
Airport,2018,Fatal,Hit and Run,City or Town Road,12.95597,77.692816
Airport,2018,Fatal,Others,City or Town Road,12.955965,77.713268
Airport,2018,Damage Only,Head on,Others,12.934922,77.690536
Airport,2019,Fatal,Hit pedestrian,State Highway,12.96312,77.701758
Airport,2019,Fatal,Hit pedestrian,Others,12.957718,77.672524
Airport,2019,Fatal,Head on,Residential Street,12.964465,77.675596
Airport,2019,Fatal,Hit pedestrian,Others,12.937458,77.693193
Airport,2019,Simple Injury,Others,City or Town Road,12.971651,77.693701
Airport,2020,Fatal,Vehicle to Vehicle,One way,12.956556,77.705754
Airport,2020,Grievous Injury,Vehicle to Vehicle,Two way,12.956622,77.697924
Airport,2021,Grievous Injury,Vehicle to Vehicle,One way,12.937446,77.693259
Airport,2022,Grievous Injury,Hit pedestrian,Two way,12.928805,77.682394
Airport,2022,Damage Only,Hit pedestrian,Two way,12.964001,77.663841
Airport,2023,Grievous Injury,Hit bicyclist,Others,12.958857,77.667531
Airport,2023,Simple Injury,Vehicle to Vehicle,Two way,12.955249,77.688148
Airport,2023,Grievous Injury,Not Applicable,Two way,12.956874,77.701385
Airport,2023,Damage Only,Vehicle to Vehicle,Others,12.965341,77.662685
Airport,2023,Grievous Injury,Vehicle to Vehicle,Two way,12.974345,77.68114
Airport,2023,Grievous Injury,Hit pedestrian,Not Applicable,12.964966,77.678457
Airport,2023,Grievous Injury,Vehicle to Vehicle,Two way,12.956978,77.701282
Airport,2023,Fatal,Hit pedestrian,Two way,12.956756,77.704023
Airport,2023,Grievous Injury,Vehicle to Vehicle,Two way,12.956393,77.674848
Airport,2023,Grievous Injury,Vehicle to Vehicle,Others,12.962596,77.701646
Airport,2023,Grievous Injury,Vehicle to Vehicle,Others,12.972011,77.711758
Airport,2023,Grievous Injury,Vehicle to Vehicle,Others,12.965458,77.662578
Airport,2023,Grievous Injury,Not Applicable,Others,12.955724,77.688135
Airport,2023,Grievous Injury,Vehicle to Vehicle,Two way,12.958857,77.667531
Airport,2023,Grievous Injury,Hit pedestrian,Others,12.928742,77.694818
Airport,2023,Grievous Injury,Not Applicable,Others,12.968876,77.712993
Airport,2023,Grievous Injury,Vehicle to Vehicle,Residential Street,12.949358,77.70992
Airport,2023,Fatal,Vehicle to Vehicle,Service Road,12.946571,77.698783
Airport,2023,Grievous Injury,Hit pedestrian,Two way,12.94215,77.696965
Airport,2023,Fatal,Hit pedestrian,Two way,12.964851,77.71839
Airport,2023,Grievous Injury,Vehicle to Vehicle,Service Road,12.934756,77.690187
Airport,2023,Damage Only,Vehicle to Vehicle,Others,12.929954,77.685225
Airport,2023,Grievous Injury,Hit bicyclist,Others,12.957041,77.673833
Airport,2023,Simple Injury,Vehicle to Vehicle,Two way,12.958857,77.667531
Airport,2023,Fatal,Vehicle to Vehicle,Two way,12.956508,77.696481
Airport,2023,Fatal,Not Applicable,Two way,12.957473,77.701027
Airport,2023,Damage Only,Vehicle to Vehicle,Others,12.954859,77.686639
Airport,2023,Grievous Injury,Vehicle to Vehicle,Two way,12.971093,77.681772
Airport,2023,Grievous Injury,Hit pedestrian,Others,12.955467,77.715096
Airport,2023,Grievous Injury,Vehicle to Vehicle,Not Applicable,12.929733,77.685241
Ashokanagar,2016,Damage Only,Rear end,City or Town Road,12.974022,77.611511
Ashokanagar,2016,Simple Injury,Hit pedestrian,City or Town Road,12.975095,77.607995
Ashokanagar,2016,Grievous Injury,Rear end,City or Town Road,12.967694,77.606634
Ashokanagar,2016,Fatal,Hit pedestrian,City or Town Road,12.974971,77.608114
Ashokanagar,2016,Grievous Injury,Rear end,City or Town Road,12.967695,77.600009
Ashokanagar,2016,Grievous Injury,Hit and Run,City or Town Road,12.951451,77.622132
Ashokanagar,2016,Grievous Injury,Head on,City or Town Road,12.962105,77.597093
Ashokanagar,2016,Damage Only,Rear end,City or Town Road,12.97092,77.604893
Ashokanagar,2016,Damage Only,Others,City or Town Road,12.952687,77.605238
Ashokanagar,2016,Grievous Injury,Others,Residential Street,12.963145,77.60134
Ashokanagar,2016,Grievous Injury,Hit bicyclist,City or Town Road,12.9645,77.614461
Ashokanagar,2016,Simple Injury,Hit bicyclist,City or Town Road,12.96086,77.600533
Ashokanagar,2016,Simple Injury,Others,One way,12.97092,77.604893
Ashokanagar,2016,Simple Injury,Hit and Run,Two way,12.965118,77.606947
Ashokanagar,2016,Fatal,Hit bicyclist,Two way,12.958174,77.621251
Ashokanagar,2016,Fatal,Skidding or Self accident,City or Town Road,12.965845,77.597857
Ashokanagar,2016,Grievous Injury,Hit pedestrian,City or Town Road,12.966948,77.60787
Ashokanagar,2016,Damage Only,Hit and Run,One way,12.970744,77.604505
Ashokanagar,2019,Grievous Injury,Hit and Run,Two way,12.943508,77.630421
Ashokanagar,2019,Fatal,Vehicle to Vehicle,Two way,12.9669498,77.6065976
Ashokanagar,2020,Grievous Injury,Vehicle to Vehicle,Two way,12.956077,77.605637
Ashokanagar,2020,Simple Injury,Vehicle to Vehicle,Two way,12.952709,77.605162
Ashokanagar,2022,Not Applicable,Vehicle to Vehicle,One way,12.974798,77.607746
Ashokanagar,2022,Simple Injury,Vehicle to Vehicle,One way,12.966182,77.598169
Ashokanagar,2022,Fatal,Hit pedestrian,Sub Arterial,12.957067,77.615238
Ashokanagar,2022,Grievous Injury,Vehicle to Vehicle,Two way,12.960269,77.606468
Ashokanagar,2022,Grievous Injury,Vehicle to Vehicle,Two way,12.951718,77.610091
Ashokanagar,2022,Grievous Injury,Vehicle to Vehicle,Two way,12.970068,77.61028
Ashokanagar,2022,Grievous Injury,Vehicle to Vehicle,Two way,12.975006,77.608249
Ashokanagar,2023,Grievous Injury,Not Applicable,One way,12.968,77.600324
Ashokanagar,2023,Grievous Injury,Not Applicable,One way,12.970448,77.604978
Ashokanagar,2023,Grievous Injury,Vehicle to Vehicle,Two way,12.955846,77.620866
Ashokanagar,2023,Fatal,Hit pedestrian,Two way,12.965708,77.609466
Ashokanagar,2023,Grievous Injury,Vehicle to Vehicle,One way,12.934719,77.630314
Ashokanagar,2023,Grievous Injury,Not Applicable,Two way,12.96159,77.613061
Ashokanagar,2023,Damage Only,Vehicle to Vehicle,Two way,12.974199,77.61211
Ashokanagar,2023,Grievous Injury,Vehicle to Vehicle,One way,12.967072,77.610883
Ashokanagar,2023,Damage Only,Vehicle to Vehicle,Two way,12.974029,77.611792
Ashokanagar,2023,Grievous Injury,Vehicle to Vehicle,Two way,12.934719,77.630314
Ashokanagar,2023,Grievous Injury,Hit pedestrian,Two way,12.973069,77.609204
Ashokanagar,2023,Grievous Injury,Vehicle to Vehicle,One way,12.971883,77.607072
Ashokanagar,2023,Grievous Injury,Vehicle to Vehicle,Two way,12.961606,77.612738
Ashokanagar,2023,Grievous Injury,Not Applicable,Two way,12.958826,77.612131
Ashokanagar,2023,Grievous Injury,Vehicle to Vehicle,Two way,12.964707,77.6037
Ashokanagar,2023,Grievous Injury,Vehicle to Vehicle,Two way,12.975078,77.607968
Ashokanagar,2023,Grievous Injury,Vehicle to Vehicle,Two way,12.974046,77.610166
Ashokanagar,2023,Fatal,Vehicle to Vehicle,Two way,12.961492,77.599314
Banasawadi,2017,Fatal,Hit fixed object,City or Town Road,13.008571,77.632392
Banasawadi,2017,Fatal,Others,City or Town Road,13.048648,77.645404
Banasawadi,2018,Fatal,Vehicle to Vehicle,Two way,13.019494,77.654324
Banasawadi,2018,Grievous Injury,Hit pedestrian,City or Town Road,13.02815,77.631887
Banasawadi,2019,Fatal,Hit and Run,City or Town Road,13.010377,77.645086
Banasawadi,2019,Grievous Injury,Vehicle to Vehicle,Two way,13.014104,77.638143
Banasawadi,2019,Fatal,Hit pedestrian,City or Town Road,13.02625,77.637241
Banasawadi,2020,Grievous Injury,Vehicle to Vehicle,Two way,13.006819,77.6394049
Banasawadi,2022,Grievous Injury,Not Applicable,Arterial,13.03405,77.63835
Banasawadi,2022,Grievous Injury,Vehicle to Vehicle,Two way,13.0218,77.6405
Banasawadi,2022,Grievous Injury,Vehicle to Vehicle,Others,13.039713,77.639111
Banasawadi,2022,Grievous Injury,Vehicle to Vehicle,Arterial,13.0188775,77.6299484
Banasawadi,2022,Damage Only,Vehicle to Vehicle,Two way,13.0203,77.6542
Banasawadi,2022,Grievous Injury,Hit pedestrian,Two way,13.028005,77.639969
Banasawadi,2022,Fatal,Vehicle to Vehicle,Others,13.02981,77.63109
Banasawadi,2022,Simple Injury,Vehicle to Vehicle,Others,13.02689,77.6365465
Banasawadi,2022,Grievous Injury,Vehicle to Vehicle,Others,13.053703,77.645427
Banasawadi,2022,Grievous Injury,Vehicle to Vehicle,Sub Arterial,13.034256,77.632675
Banasawadi,2022,Fatal,Hit pedestrian,Two way,13.0129191,77.6258461
Banasawadi,2022,Grievous Injury,Hit pedestrian,Arterial,13.0366438,77.627695
Banasawadi,2022,Grievous Injury,Vehicle to Vehicle,Two way,13.0306,77.5514
Banasawadi,2022,Grievous Injury,Hit pedestrian,Two way,13.022072,77.629694
Banasawadi,2022,Grievous Injury,Not Applicable,Two way,13.0224057,77.6469518
Banasawadi,2022,Grievous Injury,Vehicle to Vehicle,Others,13.0347435,77.6651497
Banasawadi,2022,Grievous Injury,Vehicle to Vehicle,Others,13.0452646,77.626882
Banasawadi,2023,Simple Injury,Not Applicable,Residential Street,13.124711,77.542351
Banasawadi,2023,Simple Injury,Vehicle to Vehicle,Residential Street,13.02274,77.637191
Banasawadi,2023,Grievous Injury,Vehicle to Vehicle,Others,13.022379,77.648663
Banasawadi,2023,Grievous Injury,Vehicle to Vehicle,Others,13.016946,77.643156
Banasawadi,2023,Grievous Injury,Vehicle to Vehicle,Two way,13.019465,77.640025
Banasawadi,2023,Grievous Injury,Vehicle to Vehicle,Two way,13.019483,77.640075
Banasawadi,2023,Grievous Injury,Vehicle to Vehicle,Two way,13.019474,77.640004
Banasawadi,2023,Grievous Injury,Vehicle to Vehicle,Two way,13.014925,77.653369
Banasawadi,2023,Simple Injury,Vehicle to Vehicle,Two way,13.019465,77.640025
Banasawadi,2023,Grievous Injury,Not Applicable,Others,13.019432,77.640025
Banasawadi,2023,Fatal,Vehicle to Vehicle,Two way,13.019465,77.632622
Banasawadi,2023,Fatal,Not Applicable,Sub Arterial,12.996741,77.642259
Banasawadi,2023,Grievous Injury,Vehicle to Vehicle,Two way,13.019465,77.640044
Banasawadi,2023,Grievous Injury,Not Applicable,One way,13.019465,77.640025
Banasawadi,2023,Damage Only,Vehicle to Vehicle,Service Road,13.020947,77.650928
Banasawadi,2023,Grievous Injury,Hit pedestrian,Two way,13.011028,77.624954
Banasawadi,2023,Grievous Injury,Vehicle to Vehicle,Two way,13.019466,77.640068
Banasawadi,2023,Damage Only,Vehicle to Vehicle,Two way,13.005318,77.635478
Banasawadi,2023,Grievous Injury,Vehicle to Vehicle,Two way,13.011028,77.624954
Banasawadi,2023,Damage Only,Vehicle to Vehicle,Service Road,13.022379,77.640025
Banasawadi,2023,Grievous Injury,Vehicle to Vehicle,Not Applicable,13.027652,77.632645
Banasawadi,2023,Grievous Injury,Not Applicable,Two way,13.018455,77.632133
Banasawadi,2023,Grievous Injury,Vehicle to Vehicle,Two way,13.016066,77.629238
Banasawadi,2023,Damage Only,Vehicle to Vehicle,Two way,13.020316,77.643196
Banashankari,2016,Damage Only,Head on,City or Town Road,12.93532,77.53602
Banashankari,2016,Simple Injury,Others,City or Town Road,12.912643,77.552666
Banashankari,2016,Simple Injury,Not Applicable,City or Town Road,12.932786,77.575568
Banashankari,2016,Simple Injury,Others,City or Town Road,12.94065,77.54632
Banashankari,2017,Grievous Injury,Hit and Run,City or Town Road,12.93892,77.54515
Banashankari,2017,Simple Injury,Others,Two way,12.924218,77.568919
Banashankari,2017,Simple Injury,Hit and Run,City or Town Road,12.936883,77.55257
Banashankari,2017,Simple Injury,Right Turn Collision,City or Town Road,12.926951,77.544387
Banashankari,2017,Simple Injury,Not Applicable,Two way,12.923293,77.561214
Banashankari,2017,Simple Injury,Hit and Run,City or Town Road,12.920904,77.573839
Banashankari,2017,Damage Only,Not Applicable,Two way,12.929534,77.576478
Banashankari,2017,Simple Injury,Not Applicable,City or Town Road,12.93475,77.562044
Banashankari,2017,Simple Injury,Hit and Run,City or Town Road,12.92514,77.55017
Banashankari,2017,Simple Injury,Not Applicable,Two way,12.920954,77.561862
Banashankari,2017,Simple Injury,Hit and Run,City or Town Road,12.933165,77.543488
Banashankari,2017,Simple Injury,Not Applicable,Two way,12.921877,77.560394
Banashankari,2017,Simple Injury,Not Applicable,Two way,12.923899,77.553746
Banashankari,2017,Simple Injury,Hit pedestrian,City or Town Road,12.930016,77.535855
Banashankari,2017,Simple Injury,Not Applicable,Two way,12.927973,77.5519
Banashankari,2017,Simple Injury,Head on,City or Town Road,12.92474,77.56062
Banashankari,2017,Simple Injury,Hit pedestrian,City or Town Road,12.92198,77.56974
Banashankari,2017,Simple Injury,Others,Two way,12.94032,77.548408
Banashankari,2017,Damage Only,Not Applicable,Two way,12.928818,77.566189
Banashankari,2017,Simple Injury,Others,Two way,12.93003,77.567041
Banashankari,2017,Simple Injury,Not Applicable,Two way,12.934493,77.537523
Banashankari,2017,Simple Injury,Hit parked vehicle,City or Town Road,12.915678,77.565378
Banashankari,2017,Simple Injury,Others,Two way,12.9425369,77.5460194
Banashankari,2017,Grievous Injury,Others,Two way,12.914542,77.562918
Banashankari,2017,Simple Injury,Others,City or Town Road,12.9193081,77.5691122
Banashankari,2017,Simple Injury,Not Applicable,Two way,12.916735,77.574036
Banashankari,2017,Simple Injury,Not Applicable,Two way,12.934717,77.573803
Banashankari,2017,Damage Only,Not Applicable,City or Town Road,12.921659,77.560385
Banashankari,2017,Simple Injury,Hit pedestrian,Two way,12.922855,77.570241
Banashankari,2017,Fatal,Hit and Run,City or Town Road,12.934192,77.54664
Banashankari,2017,Simple Injury,Hit and Run,City or Town Road,12.9219169,77.5597482
Banashankari,2017,Damage Only,Hit parked vehicle,Residential Street,12.915397,77.567266
Banashankari,2017,Simple Injury,Not Applicable,One way,12.925127,77.565751
Banashankari,2017,Damage Only,Side swipe,Two way,12.937199,77.533969
Banashankari,2017,Simple Injury,Hit and Run,City or Town Road,12.926903,77.568279
Banashankari,2017,Simple Injury,Others,Two way,12.930499,77.543528
Banashankari,2017,Simple Injury,Not Applicable,One way,12.919461,77.543871
Banashankari,2017,Simple Injury,Not Applicable,Two way,12.927901,77.555802
Banashankari,2017,Simple Injury,Hit and Run,City or Town Road,12.9292002,77.5701998
Banashankari,2017,Simple Injury,Not Applicable,Two way,12.930789,77.567015
Banashankari,2017,Simple Injury,Others,Two way,12.919115,77.56435
Banashankari,2017,Simple Injury,Not Applicable,Two way,12.921404,77.560333
Banashankari,2017,Fatal,Right Turn Collision,Two way,12.930331,77.57646
Banashankari,2017,Grievous Injury,Not Applicable,Two way,12.9379998,77.533704
