station,n_crashes,n_fatal,ped_share,hitrun_share,junction_share,highway_share,uncontrolled_share,headon_rear_share,fatal_ped_share,fatal_hitrun_share,fatal_highway_share,fatal_junction_share
Adugodi,406,43,0.256,0.362,0.273,0.044,0.254,0.091,0.512,0.395,0.116,0.163
Airport,691,141,0.298,0.333,0.178,0.109,0.562,0.11,0.369,0.44,0.121,0.149
Ashokanagar,385,37,0.132,0.358,0.553,0.013,0.252,0.081,0.243,0.432,0.027,0.351
Banasawadi,753,138,0.224,0.328,0.36,0.046,0.361,0.121,0.312,0.399,0.051,0.159
Banashankari,723,78,0.178,0.347,0.552,0.001,0.264,0.028,0.192,0.218,0.0,0.526
Basavanagudi,545,45,0.156,0.275,0.453,0.004,0.488,0.046,0.2,0.356,0.0,0.422
Bellanduru,36,7,0.306,0.278,0.194,0.0,0.139,0.0,0.286,0.429,0.0,0.0
Bytarayanapura,1022,155,0.285,0.287,0.266,0.252,0.216,0.092,0.419,0.329,0.323,0.161
Chickpet,309,47,0.23,0.324,0.424,0.029,0.356,0.11,0.213,0.383,0.043,0.34
Chikkajala,1168,222,0.165,0.315,0.204,0.405,0.763,0.114,0.216,0.405,0.405,0.189
City Market,191,27,0.482,0.277,0.476,0.12,0.073,0.126,0.481,0.333,0.148,0.407
Cubbon Park,351,21,0.1,0.356,0.45,0.0,0.046,0.154,0.143,0.286,0.0,0.476
Electronic City,1250,230,0.239,0.365,0.094,0.568,0.216,0.138,0.274,0.457,0.557,0.104
H.Grounds,464,37,0.131,0.252,0.511,0.009,0.071,0.17,0.405,0.324,0.0,0.405
HSR Layout,658,122,0.138,0.386,0.128,0.006,0.199,0.003,0.139,0.443,0.016,0.098
Halasooru,488,88,0.215,0.32,0.416,0.016,0.512,0.121,0.273,0.25,0.034,0.25
Hebbala,1013,167,0.246,0.269,0.384,0.259,0.805,0.165,0.305,0.281,0.293,0.305
Hennuru,73,16,0.274,0.233,0.137,0.0,0.507,0.0,0.312,0.438,0.0,0.188
Hulimavu,808,111,0.231,0.339,0.243,0.243,0.176,0.121,0.306,0.423,0.342,0.198
Indiranagar,539,70,0.206,0.315,0.421,0.045,0.148,0.082,0.3,0.214,0.057,0.243
Int. Aiport,1144,212,0.108,0.185,0.22,0.469,0.407,0.03,0.189,0.278,0.571,0.175
Jalahalli,850,141,0.182,0.194,0.24,0.324,0.225,0.267,0.163,0.248,0.234,0.142
Jayanagar,637,86,0.223,0.427,0.573,0.005,0.433,0.066,0.256,0.465,0.023,0.407
Jnanabharathi,602,55,0.151,0.321,0.206,0.256,0.387,0.008,0.164,0.455,0.182,0.327
K G Halli,165,26,0.315,0.418,0.194,0.097,0.133,0.006,0.462,0.346,0.115,0.269
K R Puram,1656,296,0.111,0.333,0.263,0.138,0.421,0.217,0.182,0.402,0.216,0.199
K S Layout,1308,225,0.198,0.255,0.163,0.103,0.132,0.138,0.204,0.271,0.129,0.156
Kamakshipalya,1548,227,0.198,0.248,0.194,0.151,0.406,0.189,0.194,0.238,0.225,0.211
Kengeri,1060,186,0.208,0.201,0.218,0.242,0.352,0.158,0.237,0.247,0.301,0.199
Madivala,627,111,0.284,0.386,0.388,0.193,0.242,0.118,0.324,0.459,0.234,0.288
Magadi Road,264,34,0.398,0.394,0.436,0.038,0.716,0.125,0.471,0.324,0.088,0.294
Mahadevapura,85,10,0.176,0.235,0.482,0.012,0.847,0.0,0.4,0.0,0.0,0.5
Malleshwaram,655,56,0.255,0.385,0.4,0.003,0.463,0.053,0.304,0.321,0.018,0.339
Micolayout,503,67,0.235,0.38,0.423,0.153,0.469,0.099,0.388,0.343,0.209,0.224
Peenya,1462,191,0.276,0.29,0.3,0.352,0.287,0.137,0.356,0.314,0.435,0.262
Pulikeshinagar,185,54,0.173,0.281,0.351,0.054,0.432,0.157,0.241,0.241,0.037,0.185
R T Nagar,564,51,0.059,0.372,0.298,0.023,0.413,0.009,0.176,0.353,0.02,0.255
Rajajinagar,642,97,0.322,0.305,0.601,0.0,0.871,0.193,0.289,0.392,0.0,0.598
S.S.Nagar,532,49,0.128,0.333,0.233,0.008,0.062,0.015,0.245,0.327,0.041,0.184
Shivajinagar,220,30,0.155,0.314,0.545,0.145,0.145,0.041,0.367,0.267,0.167,0.367
Thalagattapura,139,42,0.058,0.209,0.187,0.072,0.209,0.036,0.048,0.095,0.048,0.0
U.Gate,354,33,0.285,0.271,0.201,0.003,0.153,0.153,0.636,0.152,0.0,0.091
Upparpet,249,38,0.293,0.289,0.313,0.004,0.169,0.165,0.526,0.395,0.0,0.184
VV Puram,321,43,0.355,0.246,0.399,0.025,0.371,0.09,0.395,0.302,0.023,0.442
Vijayanagar,862,73,0.226,0.56,0.288,0.027,0.48,0.165,0.342,0.411,0.014,0.274
W.Garden,431,59,0.23,0.276,0.213,0.109,0.487,0.183,0.271,0.322,0.169,0.22
Whitefield,1372,236,0.192,0.509,0.238,0.373,0.154,0.033,0.258,0.542,0.403,0.178
Yalahanka,1133,218,0.195,0.303,0.327,0.416,0.567,0.237,0.275,0.266,0.541,0.211
Yashawanthapura,966,131,0.141,0.261,0.34,0.166,0.29,0.022,0.191,0.321,0.206,0.305
