station,year,severity,collision,road_type,lat,lng,fatal,crash_id
Adugodi,2016,Grievous Injury,Head on,City or Town Road,12.924586,77.632458,0,0
Adugodi,2016,Fatal,Head on,City or Town Road,12.941109,77.608659,1,1
Adugodi,2017,Damage Only,Rear end,City or Town Road,12.942224,77.602416,0,2
Adugodi,2017,Grievous Injury,Rear end,City or Town Road,12.929348,77.615997,0,3
Adugodi,2017,Grievous Injury,Right Turn Collision,City or Town Road,12.941165,77.602436,0,4
Adugodi,2017,Grievous Injury,Hit and Run,City or Town Road,12.941168,77.602353,0,5
Adugodi,2017,Grievous Injury,Right Turn Collision,City or Town Road,12.933431,77.623248,0,6
Adugodi,2017,Damage Only,Overturning,City or Town Road,12.935014,77.629078,0,7
Adugodi,2017,Simple Injury,Hit pedestrian,City or Town Road,12.948302,77.62087,0,8
Adugodi,2017,Grievous Injury,Hit pedestrian,City or Town Road,12.924914,77.633949,0,9
Adugodi,2017,Damage Only,Rear end,City or Town Road,12.926759,77.637684,0,10
Adugodi,2017,Damage Only,Hit and Run,City or Town Road,12.737221,77.626898,0,11
Adugodi,2017,Grievous Injury,Hit and Run,City or Town Road,12.928964,77.617589,0,12
Adugodi,2017,Grievous Injury,Others,City or Town Road,12.927382,77.621085,0,13
Adugodi,2017,Simple Injury,Hit pedestrian,City or Town Road,12.935365,77.614217,0,14
Adugodi,2017,Simple Injury,Hit pedestrian,City or Town Road,12.940022,77.624708,0,15
Adugodi,2017,Grievous Injury,Hit pedestrian,Others,12.934462,77.629644,0,16
Adugodi,2017,Simple Injury,Side impact or Right angle,Residential Street,12.9259102,77.6375508,0,17
Adugodi,2017,Grievous Injury,Hit pedestrian,City or Town Road,12.948848,77.620113,0,18
Adugodi,2017,Simple Injury,Head on,City or Town Road,12.9424663,77.6143973,0,19
Adugodi,2017,Simple Injury,Hit pedestrian,City or Town Road,12.940432,77.601248,0,20
Adugodi,2017,Fatal,Hit pedestrian,City or Town Road,12.939119,77.602125,1,21
Adugodi,2017,Grievous Injury,Head on,City or Town Road,12.936978,77.6265,0,22
Adugodi,2017,Grievous Injury,Hit pedestrian,City or Town Road,12.93635,77.627844,0,23
Adugodi,2017,Damage Only,Head on,City or Town Road,12.924606,77.6328,0,24
Adugodi,2017,Damage Only,Right Turn Collision,City or Town Road,12.937241,77.626898,0,25
Adugodi,2017,Fatal,Hit pedestrian,City or Town Road,12.948534,77.606388,1,26
Adugodi,2017,Fatal,Hit and Run,City or Town Road,12.927495,77.621067,1,27
Adugodi,2017,Grievous Injury,Hit and Run,City or Town Road,12.941111,77.602437,0,28
Adugodi,2018,Simple Injury,Others,City or Town Road,12.9501199,77.6033422,0,29
Adugodi,2019,Grievous Injury,Hit pedestrian,Two way,12.939946,77.609407,0,30
Adugodi,2019,Not Applicable,Vehicle to Vehicle,Two way,12.938836,77.609986,0,31
Adugodi,2019,Grievous Injury,Vehicle to Vehicle,Others,12.924315,77.630004,0,32
Adugodi,2019,Grievous Injury,Hit pedestrian,Two way,12.939923,77.609454,0,33
Adugodi,2019,Grievous Injury,Vehicle to Vehicle,Others,12.948711,77.606227,0,34
Adugodi,2019,Grievous Injury,Hit pedestrian,Two way,12.941566,77.608427,0,35
Adugodi,2019,Grievous Injury,Vehicle to Vehicle,Two way,12.927475,77.620893,0,36
Adugodi,2019,Grievous Injury,Hit pedestrian,Others,12.933329,77.627283,0,37
Adugodi,2019,Damage Only,Vehicle to Vehicle,One way,12.935055,77.623007,0,38
Adugodi,2019,Simple Injury,Vehicle to Vehicle,Others,12.944371,77.602831,0,39
Adugodi,2019,Grievous Injury,Not Applicable,Two way,12.943954,77.607559,0,40
Adugodi,2019,Simple Injury,Vehicle to Vehicle,Two way,12.938576,77.602022,0,41
Adugodi,2019,Grievous Injury,Vehicle to Vehicle,Two way,12.94024,77.625186,0,42
Adugodi,2019,Grievous Injury,Vehicle to Vehicle,Two way,12.948474,77.606253,0,43
Adugodi,2019,Grievous Injury,Hit pedestrian,Others,12.943991,77.607922,0,44
Adugodi,2019,Grievous Injury,Vehicle to Vehicle,Others,12.9512,77.618551,0,45
Adugodi,2019,Simple Injury,Vehicle to Vehicle,Two way,12.941982,77.608357,0,46
Adugodi,2019,Grievous Injury,Hit pedestrian,Two way,12.924889,77.634091,0,47
Adugodi,2019,Grievous Injury,Vehicle to Vehicle,Others,12.930324,77.63051,0,48
Adugodi,2019,Grievous Injury,Vehicle to Vehicle,Others,12.924828,77.634028,0,49
Adugodi,2019,Grievous Injury,Hit bicyclist,Others,12.933732,77.619722,0,50
Adugodi,2019,Damage Only,Vehicle to Vehicle,Others,12.943156,77.602884,0,51
Adugodi,2019,Grievous Injury,Hit pedestrian,Two way,12.93569,77.615093,0,52
Adugodi,2019,Fatal,Hit pedestrian,One way,12.942198,77.602597,1,53
Adugodi,2019,Fatal,Hit pedestrian,Two way,12.939609,77.609482,1,54
Adugodi,2019,Grievous Injury,Vehicle to Vehicle,Two way,12.937236,77.626986,0,55
Adugodi,2019,Grievous Injury,Vehicle to Vehicle,Others,12.941391,77.602548,0,56
Adugodi,2019,Grievous Injury,Hit pedestrian,Two way,12.946432,77.606862,0,57
Adugodi,2019,Grievous Injury,Vehicle to Vehicle,Others,12.942436,77.602747,0,58
Adugodi,2019,Grievous Injury,Vehicle to Vehicle,Two way,12.935021,77.624731,0,59
Adugodi,2019,Grievous Injury,Hit pedestrian,Two way,12.939089,77.609882,0,60
Adugodi,2019,Grievous Injury,Vehicle to Vehicle,Two way,12.941826,77.608321,0,61
Adugodi,2019,Damage Only,Vehicle to Vehicle,Others,12.925141,77.626672,0,62
Adugodi,2019,Grievous Injury,Vehicle to Vehicle,Two way,12.94168,77.602594,0,63
Adugodi,2019,Grievous Injury,Vehicle to Vehicle,Two way,12.942157,77.602609,0,64
