station,total_2018,total_2019,total_2020,total_2021,total_2022,total_2023,total_2024,total_2025,fatal_2018,fatal_2019,fatal_2020,fatal_2021,fatal_2022,fatal_2023,fatal_2024,fatal_2025,killed_2018,killed_2019,killed_2020,killed_2021,killed_2022,killed_2023,killed_2024,killed_2025,injured_2018,injured_2019,injured_2020,injured_2021,injured_2022,injured_2023,injured_2024,injured_2025,zone,subdivision,killed_est_years,lat,lng
Adugodi,50.0,62.0,29.0,19.0,42.0,63.0,50.0,66.0,3.0,6.0,2.0,2.0,6.0,10.0,5.0,7.0,3.0,6.0,2.0,8.0,6.0,10.0,5.2,7.3,53.0,55.0,30.0,20.0,41.0,67.0,,,South,South East,"2024,2025",12.943,77.61
Airport,109.0,84.0,64.0,143.0,83.0,97.0,96.0,74.0,24.0,16.0,19.0,34.0,18.0,17.0,22.0,21.0,26.0,16.0,19.0,35.0,18.0,17.0,22.8,21.8,77.0,59.0,40.0,113.0,65.0,80.0,,,East,Whitefield,"2024,2025",12.96,77.648
Ashokanagar,55.0,64.0,40.0,42.0,35.0,38.0,35.0,40.0,4.0,6.0,5.0,5.0,4.0,6.0,4.0,14.0,4.0,6.0,7.0,5.0,4.0,6.0,4.1,14.5,55.0,55.0,37.0,48.0,29.0,30.0,,,West,Central,"2024,2025",12.97,77.605
Banasawadi,129.0,129.0,91.0,99.0,116.0,91.0,65.0,101.0,21.0,19.0,15.0,20.0,22.0,14.0,6.0,10.0,21.0,19.0,16.0,21.0,22.0,15.0,6.2,10.4,133.0,106.0,68.0,81.0,118.0,82.0,,,East,East,"2024,2025",13.015,77.652
Banashankari,100.0,103.0,67.0,70.0,67.0,90.0,79.0,85.0,8.0,7.0,12.0,13.0,16.0,15.0,11.0,12.0,8.0,7.0,12.0,13.0,17.0,15.0,11.4,12.4,83.0,98.0,54.0,58.0,55.0,66.0,,,South,South,"2024,2025",12.925,77.56
Basavanagudi,70.0,60.0,52.0,48.0,85.0,102.0,90.0,82.0,3.0,6.0,6.0,5.0,7.0,3.0,8.0,6.0,3.0,6.0,6.0,5.0,7.0,3.0,8.3,6.2,60.0,56.0,42.0,31.0,59.0,98.0,,,South,South,"2024,2025",12.942,77.573
Bellanduru,,,,,,43.0,57.0,76.0,,,,,,9.0,14.0,11.0,,,,,,9.0,14.5,11.4,,,,,,34.0,,,South,HSR Layout,"2024,2025",12.926,77.676
Bytarayanapura,117.0,126.0,106.0,121.0,161.0,182.0,146.0,146.0,17.0,18.0,19.0,21.0,39.0,19.0,19.0,22.0,18.0,18.0,20.0,21.0,40.0,19.0,19.7,22.8,104.0,101.0,68.0,90.0,110.0,125.0,,,West,West,"2024,2025",13.062,77.596
Chamarajpet,42.0,41.0,29.0,28.0,51.0,29.0,15.0,17.0,4.0,7.0,6.0,6.0,7.0,4.0,0.0,4.0,4.0,7.0,6.0,6.0,7.0,4.0,0.0,4.1,38.0,37.0,25.0,24.0,46.0,22.0,,,South,South,"2024,2025",12.958,77.565
Chickpet,54.0,70.0,36.0,30.0,40.0,46.0,41.0,18.0,10.0,12.0,6.0,6.0,7.0,9.0,8.0,3.0,10.0,12.0,6.0,6.0,7.0,10.0,8.3,3.1,48.0,62.0,28.0,21.0,32.0,31.0,,,West,West,"2024,2025",12.968,77.578
Chikkabanavara,,,,,,,90.0,117.0,,,,,,,16.0,13.0,,,,,,,16.6,13.5,,,,,,,,,North,North,"2024,2025",13.087,77.501
Chikkajala,152.0,195.0,182.0,189.0,174.0,137.0,140.0,214.0,38.0,41.0,30.0,32.0,42.0,36.0,32.0,48.0,39.0,44.0,31.0,40.0,42.0,39.0,33.1,49.7,151.0,191.0,172.0,191.0,144.0,129.0,,,North,North East,"2024,2025",13.14,77.615
City Market,20.0,20.0,9.0,7.0,18.0,32.0,42.0,31.0,2.0,3.0,3.0,2.0,3.0,9.0,11.0,3.0,2.0,3.0,3.0,2.0,3.0,9.0,11.4,3.1,17.0,16.0,6.0,4.0,14.0,28.0,,,West,West,"2024,2025",12.964,77.574
Cubbon Park,54.0,51.0,26.0,38.0,37.0,56.0,48.0,50.0,2.0,5.0,2.0,4.0,4.0,2.0,6.0,0.0,2.0,5.0,2.0,4.0,5.0,2.0,6.2,0.0,53.0,56.0,28.0,35.0,31.0,41.0,,,West,Central,"2024,2025",12.977,77.592
Electronic City,160.0,170.0,155.0,129.0,139.0,196.0,178.0,178.0,27.0,32.0,31.0,27.0,26.0,38.0,42.0,40.0,29.0,33.0,31.0,30.0,26.0,39.0,43.5,41.4,115.0,122.0,109.0,116.0,128.0,171.0,,,South,HSR Layout,"2024,2025",12.845,77.66
H.Grounds,60.0,53.0,45.0,38.0,49.0,56.0,55.0,51.0,2.0,5.0,6.0,2.0,4.0,6.0,7.0,2.0,2.0,5.0,6.0,2.0,4.0,6.0,7.3,2.1,51.0,54.0,34.0,38.0,33.0,47.0,,,West,Central,"2024,2025",12.988,77.59
HSR Layout,100.0,106.0,75.0,56.0,64.0,56.0,61.0,64.0,17.0,25.0,15.0,15.0,14.0,16.0,12.0,12.0,17.0,25.0,16.0,15.0,14.0,17.0,12.4,12.4,98.0,109.0,86.0,49.0,56.0,56.0,,,South,HSR Layout,"2024,2025",12.911,77.639
Halasooru,81.0,102.0,51.0,47.0,76.0,67.0,61.0,43.0,12.0,14.0,14.0,19.0,13.0,11.0,12.0,8.0,12.0,15.0,14.0,19.0,14.0,11.0,12.4,8.3,67.0,84.0,41.0,35.0,80.0,48.0,,,East,East,"2024,2025",12.978,77.625
Hebbala,138.0,141.0,109.0,115.0,101.0,144.0,177.0,164.0,32.0,32.0,28.0,18.0,29.0,24.0,29.0,24.0,33.0,33.0,28.0,18.0,30.0,24.0,30.0,24.9,113.0,118.0,99.0,99.0,88.0,118.0,,,North,North East,"2024,2025",13.036,77.597
Hennuru,,,,,,103.0,127.0,88.0,,,,,,23.0,32.0,22.0,,,,,,24.0,33.1,22.8,,,,,,84.0,,,North,North East,"2024,2025",13.04,77.645
Hulimavu,136.0,123.0,80.0,74.0,113.0,108.0,71.0,90.0,30.0,15.0,16.0,6.0,10.0,16.0,10.0,24.0,33.0,15.0,16.0,6.0,11.0,16.0,10.4,24.9,118.0,104.0,74.0,71.0,93.0,117.0,,,South,South East,"2024,2025",12.877,77.603
