station,mean_predicted_fatality_probability,median_predicted_fatality_probability,high_risk_crash_share,crash_count
Adugodi,0.10953426,0.094720215,0.0,111
Airport,0.41591388,0.38788915,0.3220338983050847,59
Ashokanagar,0.14877707,0.11950911,0.0,47
Banasawadi,0.29198098,0.19245909,0.22448979591836735,49
Banashankari,0.121665426,0.1003291,0.0,446
Basavanagudi,0.1083306,0.10363568,0.0,232
Bellanduru,0.20233431,0.17880557,0.0,32
Bytarayanapura,0.18399262,0.1684026,0.0030211480362537764,331
Chickpet,0.15194173,0.14228043,0.0,179
Chikkajala,0.13098997,0.102209605,0.023255813953488372,43
City Market,0.20093274,0.18468694,0.0,55
Cubbon Park,0.12236216,0.10945393,0.0,31
Electronic City,0.16596161,0.15431868,0.0,859
H.Grounds,0.12436982,0.09587993,0.0,45
HSR Layout,0.21210489,0.19038314,0.009230769230769232,325
Halasooru,0.19422945,0.14253345,0.06718346253229975,387
Hebbala,0.14988661,0.1355074,0.009009009009009009,111
Hennuru,0.122830085,0.09841092,0.0,41
Hulimavu,0.1839015,0.16693152,0.0,79
Indiranagar,0.3440363,0.2534793,0.3,40
Int. Aiport,0.13915993,0.1274521,0.0,774
Jalahalli,0.13997702,0.10942704,0.013435700575815739,521
Jayanagar,0.23609233,0.22074173,0.0,85
Jnanabharathi,0.2659087,0.27981645,0.0,12
K G Halli,0.21296768,0.19273669,0.02857142857142857,70
K R Puram,0.27257615,0.1979399,0.125,480
K S Layout,0.7316022,0.84361726,0.8454810495626822,343
Kamakshipalya,0.21589744,0.18344049,0.0,105
Kengeri,0.31714433,0.2991401,0.07772020725388601,193
Madivala,0.17910358,0.14253137,0.005050505050505051,198
Magadi Road,0.12516247,0.10747714,0.0,240
Mahadevapura,0.2995649,0.2708435,0.1,30
Malleshwaram,0.11994917,0.09802102,0.0,39
Micolayout,0.14906476,0.13856566,0.0,127
Peenya,0.16877371,0.15584078,0.0,942
Pulikeshinagar,0.5743577,0.67336285,0.5952380952380952,42
R T Nagar,0.08092034,0.07025465,0.0,388
Rajajinagar,0.14782445,0.13642523,0.0,202
S.S.Nagar,0.0941107,0.079394676,0.0,315
Shivajinagar,0.15836553,0.11966869,0.0,112
Thalagattapura,0.3594165,0.36529616,0.10526315789473684,57
U.Gate,0.139625,0.10851084,0.0,160
Upparpet,0.17102131,0.1927573,0.0,57
VV Puram,0.15299487,0.13167469,0.0,128
Vijayanagar,0.16132373,0.14238961,0.007936507936507936,126
W.Garden,0.17674696,0.15054607,0.0,76
Whitefield,0.2535759,0.2315278,0.03501945525291829,257
Yalahanka,0.105039805,0.097019,0.0,63
Yashawanthapura,0.12547088,0.109744176,0.001122334455667789,891
