Sl No,City,Pedestrians,Bicycles,Two-Wheelers,Auto Rickshaws,"Cars Taxis, vans and LMVs",Trucks lorries,Buses,Other NMT (incl e-rickshaws),Others
1,Agra,59,47,133,31,121,64,41,36,54
2,Ahmedabad,180,25,171,12,20,1,1,0,0
3,Allahabad (Prayagraj),30,48,149,84,105,31,35,39,26
4,Amritsar,20,5,40,2,3,4,1,1,2
5,Asansol Durgapur,106,16,125,0,17,14,1,5,21
6,Aurangabad,54,0,105,6,15,8,0,0,0
7,Bengaluru,246,13,467,22,41,20,4,0,81
8,Bhopal,58,0,134,6,26,3,2,0,6
9,Chandigarh,28,8,29,4,2,0,0,4,0
10,Coimbatore,103,3,181,4,2,0,2,0,1
11,Chennai,186,12,297,23,11,0,13,0,0
12,Delhi,584,53,611,39,71,8,4,31,150
13,Dhanbad,6,11,149,0,32,9,4,0,0
14,Faridabad,81,9,111,6,10,3,0,2,10
15,Ghaziabad,43,26,195,31,47,13,2,24,0
16,Gwalior,47,0,146,38,43,22,7,0,48
17,Hyderabad,117,1,161,10,8,2,1,1,0
18,Indore,83,5,174,3,15,4,0,2,4
19,Jabalpur,0,0,346,19,176,42,4,2,0
20,Jaipur,187,13,413,8,129,64,5,14,27
21,Jamshedpur,68,14,63,13,38,8,0,18,14
22,Jodhpur,41,3,124,4,26,6,2,0,27
23,Kannur,36,2,64,5,14,1,1,0,2
24,Kanpur,29,79,74,45,69,98,48,63,55
25,Kozhikode,45,3,93,5,3,1,2,0,1
26,Kochi,48,8,97,6,3,1,3,0,6
27,Kolkata,79,20,76,2,4,2,6,0,2
28,Kollam,38,7,97,6,4,0,1,0,0
29,Kota,29,0,70,3,5,2,1,0,7
30,Lucknow,49,22,144,19,120,55,59,34,74
31,Ludhiana,114,29,188,3,18,9,3,2,9
32,Madurai,93,3,121,4,0,1,6,0,0
33,Mallapuram,86,2,182,23,11,5,4,0,3
34,Meerut,10,11,157,28,72,15,9,25,63
35,Mumbai,185,5,148,8,9,0,1,0,14
36,Nagpur,104,19,183,10,23,3,1,2,0
37,Nashik,63,2,111,3,16,1,0,0,1
38,Patna,106,13,95,5,6,3,0,0,21
39,Pune,119,9,185,7,15,4,3,0,3
40,Raipur,94,18,421,5,29,13,1,4,9
41,Rajkot,50,3,91,9,6,1,0,0,0
42,Srinagar,26,0,15,0,11,1,1,1,0
43,Surat,127,10,146,15,7,9,0,0,0
44,Thiruvananthapuram,59,2,93,6,6,0,0,0,4
45,Thrissur,67,5,107,15,15,1,3,0,0
46,Tiruchirappalli,56,2,90,4,6,0,6,0,0
47,Vadodara,44,9,84,9,10,15,0,0,12
48,Varanasi,14,12,38,14,72,42,43,9,60
49,Vijayawada City,114,10,243,22,24,5,0,0,12
50,Vishakhapatnam,117,2,172,17,16,12,0,10,0
,Total,"4,328",619,"7,909",663,1552,626,331,329,829
