City,Over-speeding,Drunk Driving,Wrong Side,Jumping Red Light,Mobile Phone,Others,Total,
Agra,269,33,83,31,11,159,586,
Ahmedabad,396,6,8,0,0,0,410,
Allahabad (Prayagraj),327,0,152,0,0,68,547,
Amritsar,46,1,2,0,0,29,78,
Asansol Durgapur,129,0,1,0,0,175,305,
Aurangabad,183,0,5,0,0,0,188,
Bengaluru,776,45,15,3,1,54,894,
Bhopal,235,0,0,0,0,0,235,
Chandigarh,0,0,0,2,0,73,75,
Coimbatore,156,5,3,0,0,132,296,
Chennai,146,3,0,0,0,393,542,
Delhi,678,50,81,44,20,678,1551,
Dhanbad,120,15,7,0,0,69,211,
Faridabad,205,0,22,5,0,0,232,
Ghaziabad,254,0,6,0,0,121,381,
Gwalior,153,0,198,0,0,0,351,
Hyderabad,269,14,3,3,0,12,301,
Indore,241,0,0,0,0,49,290,
Jabalpur,580,0,0,0,0,9,589,
Jaipur,704,15,12,5,6,118,860,
Jamshedpur,150,14,28,0,13,31,236,
Jodhpur,122,0,1,0,0,110,233,
Kannur,27,1,9,0,0,88,125,
Kanpur,126,117,89,24,83,121,560,
Kozhikode,58,0,8,0,0,87,153,
Kochi,115,3,4,0,1,49,172,
Kolkata,7,3,4,2,3,172,191,
Kollam,70,0,2,0,1,80,153,
Kota,117,0,0,0,0,0,117,
Lucknow,297,3,7,1,3,265,576,
Ludhiana,212,2,2,0,0,159,375,
Madurai,97,4,18,0,0,109,228,
Malappuram,177,0,21,0,0,118,317,
Meerut,188,26,10,0,2,164,390,
Mumbai,366,4,0,0,0,0,370,
Nagpur,119,7,3,0,0,216,345,
Nashik,86,4,3,1,0,103,197,
Patna,138,0,1,0,0,110,249,
Pune,264,14,0,0,0,67,345,
Raipur,556,0,11,0,0,27,594,
Rajkot,148,0,1,0,1,10,160,
Srinagar,17,23,6,2,7,0,55,
Surat,309,0,4,1,0,0,314,
Thiruvananthapuram,79,3,2,0,0,86,170,
Thrissur,119,0,4,0,1,89,213,
Tiruchirappalli,137,0,4,0,0,23,164,
Vadodara,136,1,4,0,0,42,183,
Varanasi,84,7,53,3,13,144,304,
Vijayawada City,429,1,0,0,0,0,430,
Vishakhapatnam,278,1,2,0,0,65,346,
,10895,425,899,127,166,4674,17187,
