Sl No,City,2023 Accidents,2024 Accidents,2023 Ranking Accidents,2024 Ranking Accidents,2023 Killed,2024 Killed,2023 Ranking Killed,2024 Ranking Killed,2023 Injured,2024 Injured,2023 Ranking Injured,2024 Ranking Injured
1,Agra,"1,007","1,223",29,28,499,586,11,6,657,984,31,28
2,Ahmedabad,"1,767","1,586",19,21,535,410,8,12,"1,347","1,269",21,21
3,Allahabad (Prayagraj),"1,297","1,246",24,27,582,547,5,9,865,832,28,30
4,Amritsar,147,111,50,50,110,78,48,48,73,57,50,50
5,Asansol Durgapur,500,480,42,42,353,305,17,23,271,291,44,44
6,Aurangabad,619,582,35,36,203,188,36,38,431,447,40,39
7,Bengaluru,"4,974","4,769",2,2,915,894,2,2,"4,162","4,022",3,3
8,Bhopal,"2,906","2,900",9,10,196,235,39,30,"2,196","2,223",15,14
9,Chandigarh,182,169,49,49,67,75,49,49,171,133,47,49
10,Chennai,"3,653","3,762",4,5,503,542,10,10,"3,958","3,970",4,4
11,Coimbatore,"1,161","1,176",28,29,305,296,27,26,993,"1,052",24,26
12,Delhi,"5,834","5,657",1,1,"1,457","1,551",1,1,"5,470","5,224",1,1
13,Dhanbad,435,349,46,47,306,211,26,35,135,197,49,47
14,Faridabad,598,592,37,35,269,232,28,32,485,468,38,37
15,Ghaziabad,991,996,30,30,365,381,16,14,703,781,30,31
16,Gwalior,"2,064","2,040",16,16,344,351,19,17,"1,567","1,585",18,18
17,Hyderabad,"2,943","3,785",7,4,335,301,20,25,"2,596","3,393",10,6
18,Indore,"3,566","3,488",5,6,257,290,31,27,"2,806","2,606",7,10
19,Jabalpur,"4,205","3,928",3,3,545,589,7,5,"4,753","4,720",2,2
20,Jaipur,"2,915","3,115",8,9,849,860,3,3,"2,331","2,580",11,11
21,Jamshedpur,329,348,47,48,218,236,33,29,214,217,45,46
22,Jodhpur,686,750,33,32,261,233,30,31,565,591,35,33
23,Kannur,"1,636","1,718",20,19,117,125,46,46,"2,018","1,991",16,16
24,Kanpur,"1,342","1,448",23,22,638,560,4,8,985,"1,132",25,25
25,Khozikode,"2,194","2,357",14,13,172,153,42,44,"2,265","2,487",14,12
26,Kochi,"2,803","3,167",10,8,177,172,41,40,"2,788","3,243",8,7
27,Kolkata,"1,994","1,942",17,18,159,191,44,37,"1,754","1,724",17,17
28,Kollam,"2,136","1,984",15,17,211,153,34,44,"2,318","2,180",13,15
29,Kota,592,491,38,41,114,117,47,47,641,527,33,34
30,Lucknow,"1,460","1,630",22,20,568,576,6,7,983,"1,165",26,22
31,Ludhiana,504,477,41,43,402,375,12,15,209,193,46,48
32,Madurai,768,645,32,34,264,228,29,33,583,468,34,37
33,Mallapuram,"3,253","3,483",6,7,309,316,23,21,"3,801","3,864",5,5
34,Meerut,939,911,31,31,395,390,13,13,848,931,29,29
35,Mumbai,"2,533","2,604",12,11,384,370,14,16,"2,617","2,722",9,9
36,Nagpur,"1,213","1,255",27,26,308,345,25,19,"1,211","1,281",23,20
37,Nashik,481,512,44,40,208,197,35,36,493,444,36,40
38,Patna,322,466,48,44,200,249,37,28,166,278,48,45
39,Pune,"1,230","1,403",26,23,351,345,18,19,881,"1,041",27,27
40,Raipur,"1,961","2,079",18,15,507,594,9,4,"1,440","1,495",19,19
41,Rajkot,494,416,43,46,178,160,40,43,380,377,42,42
42,Srinagar,476,441,45,45,56,55,50,50,492,516,37,35
43,Surat,650,659,34,33,309,314,24,22,461,473,39,36
44,Thiruvanthapuram,"2,213","2,292",13,14,137,170,45,41,"2,326","2,377",12,13
45,Thrissur,"2,613","2,411",11,12,231,213,32,34,"3,029","2,761",6,8
46,Tiruchirapalli,619,563,35,37,165,164,43,42,652,636,32,32
47,Vadodra,566,557,39,38,199,183,38,39,404,432,41,41
48,Varanasi,558,538,40,39,327,304,21,24,344,362,43,43
49,Vijaywada city,"1,522","1,343",21,24,373,430,15,11,"1,416","1,156",20,24
50,Vizaq,"1,293","1,283",25,25,322,346,22,18,"1,222","1,158",22,23
,Total,"81,144","82,127",,,"17,255","17,186",,,"73,476","75,056",,
