station,lat,lng
Adugodi,12.9430,77.6100
Airport,12.9600,77.6480
Ashokanagar,12.9700,77.6050
Banasawadi,13.0150,77.6520
Banashankari,12.9250,77.5600
Basavanagudi,12.9420,77.5730
Bellanduru,12.9260,77.6760
Bytarayanapura,13.0620,77.5960
Chamarajpet,12.9580,77.5650
Chickpet,12.9680,77.5780
Chikkabanavara,13.0870,77.5010
Chikkajala,13.1400,77.6150
City Market,12.9640,77.5740
Cubbon Park,12.9770,77.5920
Electronic City,12.8450,77.6600
H.Grounds,12.9880,77.5900
HSR Layout,12.9110,77.6390
Halasooru,12.9780,77.6250
Hebbala,13.0360,77.5970
Hennuru,13.0400,77.6450
Hulimavu,12.8770,77.6030
Indiranagar,12.9720,77.6410
Int. Aiport,13.1990,77.7070
JP Nagar,12.9080,77.5850
Jalahalli,13.0450,77.5450
Jayanagar,12.9300,77.5830
Jnanabharathi,12.9430,77.5050
K G Halli,13.0330,77.6190
K R Puram,13.0040,77.6960
K S Layout,12.9080,77.5570
Kamakshipalya,12.9860,77.5320
Kengeri,12.9130,77.4840
Kodigehalli,13.0630,77.5760
Madivala,12.9200,77.6180
Magadi Road,12.9760,77.5530
Mahadevapura,12.9910,77.6910
Malleshwaram,13.0030,77.5700
Micolayout,12.9060,77.6110
Peenya,13.0290,77.5190
Pulikeshinagar,13.0010,77.6160
R T Nagar,13.0220,77.5960
Rajajinagar,12.9910,77.5520
S.S.Nagar,12.9780,77.5500
Shivajinagar,12.9860,77.6050
Thalagattapura,12.8720,77.5410
U.Gate,12.8430,77.5680
Upparpet,12.9770,77.5740
VV Puram,12.9450,77.5760
Vijayanagar,12.9720,77.5300
W.Garden,12.9730,77.6300
Whitefield,12.9700,77.7500
Yalahanka,13.1010,77.5960
Yashawanthapura,13.0240,77.5530
