Station,year,fatal,killed,injured,total,killed_est
Adugodi,2018,3,3.0,53.0,50,False
Adugodi,2019,6,6.0,55.0,62,False
Adugodi,2020,2,2.0,30.0,29,False
Adugodi,2021,2,8.0,20.0,19,False
Adugodi,2022,6,6.0,41.0,42,False
Adugodi,2023,10,10.0,67.0,63,False
Adugodi,2024,5,5.2,,50,True
Adugodi,2025,7,7.3,,66,True
Airport,2018,24,26.0,77.0,109,False
Airport,2019,16,16.0,59.0,84,False
Airport,2020,19,19.0,40.0,64,False
Airport,2021,34,35.0,113.0,143,False
Airport,2022,18,18.0,65.0,83,False
Airport,2023,17,17.0,80.0,97,False
Airport,2024,22,22.8,,96,True
Airport,2025,21,21.8,,74,True
Ashokanagar,2018,4,4.0,55.0,55,False
Ashokanagar,2019,6,6.0,55.0,64,False
Ashokanagar,2020,5,7.0,37.0,40,False
Ashokanagar,2021,5,5.0,48.0,42,False
Ashokanagar,2022,4,4.0,29.0,35,False
Ashokanagar,2023,6,6.0,30.0,38,False
Ashokanagar,2024,4,4.1,,35,True
Ashokanagar,2025,14,14.5,,40,True
Banasawadi,2018,21,21.0,133.0,129,False
Banasawadi,2019,19,19.0,106.0,129,False
Banasawadi,2020,15,16.0,68.0,91,False
Banasawadi,2021,20,21.0,81.0,99,False
Banasawadi,2022,22,22.0,118.0,116,False
Banasawadi,2023,14,15.0,82.0,91,False
Banasawadi,2024,6,6.2,,65,True
Banasawadi,2025,10,10.4,,101,True
Banashankari,2018,8,8.0,83.0,100,False
Banashankari,2019,7,7.0,98.0,103,False
Banashankari,2020,12,12.0,54.0,67,False
Banashankari,2021,13,13.0,58.0,70,False
Banashankari,2022,16,17.0,55.0,67,False
Banashankari,2023,15,15.0,66.0,90,False
Banashankari,2024,11,11.4,,79,True
Banashankari,2025,12,12.4,,85,True
Basavanagudi,2018,3,3.0,60.0,70,False
Basavanagudi,2019,6,6.0,56.0,60,False
Basavanagudi,2020,6,6.0,42.0,52,False
Basavanagudi,2021,5,5.0,31.0,48,False
Basavanagudi,2022,7,7.0,59.0,85,False
Basavanagudi,2023,3,3.0,98.0,102,False
Basavanagudi,2024,8,8.3,,90,True
Basavanagudi,2025,6,6.2,,82,True
Bellanduru,2023,9,9.0,34.0,43,False
Bellanduru,2024,14,14.5,,57,True
Bellanduru,2025,11,11.4,,76,True
Bytarayanapura,2018,17,18.0,104.0,117,False
Bytarayanapura,2019,18,18.0,101.0,126,False
Bytarayanapura,2020,19,20.0,68.0,106,False
Bytarayanapura,2021,21,21.0,90.0,121,False
Bytarayanapura,2022,39,40.0,110.0,161,False
Bytarayanapura,2023,19,19.0,125.0,182,False
Bytarayanapura,2024,19,19.7,,146,True
Bytarayanapura,2025,22,22.8,,146,True
Chamarajpet,2018,4,4.0,38.0,42,False
Chamarajpet,2019,7,7.0,37.0,41,False
Chamarajpet,2020,6,6.0,25.0,29,False
Chamarajpet,2021,6,6.0,24.0,28,False
Chamarajpet,2022,7,7.0,46.0,51,False
Chamarajpet,2023,4,4.0,22.0,29,False
Chamarajpet,2024,0,0.0,,15,True
Chamarajpet,2025,4,4.1,,17,True
Chickpet,2018,10,10.0,48.0,54,False
Chickpet,2019,12,12.0,62.0,70,False
Chickpet,2020,6,6.0,28.0,36,False
Chickpet,2021,6,6.0,21.0,30,False
Chickpet,2022,7,7.0,32.0,40,False
Chickpet,2023,9,10.0,31.0,46,False
Chickpet,2024,8,8.3,,41,True
Chickpet,2025,3,3.1,,18,True
Chikkabanavara,2024,16,16.6,,90,True
Chikkabanavara,2025,13,13.5,,117,True
Chikkajala,2018,38,39.0,151.0,152,False
